City,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temperature,Wind Speed
0,victoria,HK,22.2855,114.1577,1623262696,26,89,301.66,2.68
1,sitka,US,57.0531,-135.33,1623262860,75,82,284.09,4.63
2,kumluca,TR,36.3703,30.2869,1623262861,2,80,295.04,0.14
3,mataura,NZ,-46.1927,168.8643,1623262861,85,91,282.86,1.01
4,padang,ID,-0.9492,100.3543,1623262862,72,87,298.01,1.6
5,moindou,NC,-21.6924,165.677,1623262863,6,75,289.12,1.85
6,cockburn town,TC,21.4612,-71.1419,1623262864,4,76,300.01,8.55
7,atambua,ID,-9.1061,124.8925,1623262865,33,89,294.29,2.16
8,touros,BR,-5.1989,-35.4608,1623262865,67,66,300.65,7.75
9,atuona,PF,-9.8,-139.0333,1623262866,19,76,299.77,6.97
10,hobart,AU,-42.8794,147.3294,1623262653,90,78,284.07,0.45
11,bluff,NZ,-46.6,168.3333,1623262867,100,84,283.04,6.76
12,saint-philippe,RE,-21.3585,55.7679,1623262868,47,74,294.9,6.69
13,jinchang,CN,38.4953,102.1739,1623262869,90,40,292.24,3.15
14,albany,US,42.6001,-73.9662,1623262870,76,74,304.9,2.8
15,hilo,US,19.7297,-155.09,1623262871,90,84,298.04,3.6
16,saldanha,ZA,-33.0117,17.9442,1623262871,0,84,288.18,4.56
17,tiksi,RU,71.6872,128.8694,1623262872,14,67,275.3,1.82
18,lagoa,PT,39.05,-27.9833,1623262872,76,90,292.19,7.64
19,arraial do cabo,BR,-22.9661,-42.0278,1623262873,40,78,299.13,5.14
20,ushuaia,AR,-54.8,-68.3,1623262874,40,49,280.96,6.69
21,fort nelson,CA,58.8053,-122.7002,1623262874,40,28,292.92,4.12
22,shimoda,JP,34.6667,138.95,1623262875,0,70,292.13,2.98
23,vulcan,RO,45.3833,23.2667,1623262876,34,92,286.99,1.83
24,hithadhoo,MV,-0.6,73.0833,1623262876,6,73,301.43,3.61
25,sioux lookout,CA,50.1001,-91.917,1623262877,90,50,297.19,2.57
26,bredasdorp,ZA,-34.5322,20.0403,1623262877,0,94,288.31,0.94
27,bathsheba,BB,13.2167,-59.5167,1623262878,75,58,303.49,8.41
28,mar del plata,AR,-38.0023,-57.5575,1623262879,90,87,292.09,1.34
29,georgetown,MY,5.4112,100.3354,1623262880,20,89,301.42,1.54
30,ribeira grande,PT,38.5167,-28.7,1623262881,75,94,293.37,6.17
31,the pas,CA,53.8251,-101.2541,1623262881,90,77,288.16,2.62
32,rikitea,PF,-23.1203,-134.9692,1623262882,100,64,295.78,5.15
33,tuktoyaktuk,CA,69.4541,-133.0374,1623262883,75,47,285.15,4.12
34,severo-kurilsk,RU,50.6789,156.125,1623262884,26,91,279.28,3.28
35,vao,NC,-22.6667,167.4833,1623262884,60,66,293.77,3.64
36,yulara,AU,-25.2406,130.9889,1623262885,99,52,279.06,3.09
37,new norfolk,AU,-42.7826,147.0587,1623262886,100,73,283.87,1.79
38,gamba,GA,-2.65,10.0,1623262886,100,89,297.83,3.32
39,codrington,AU,-38.2667,141.9667,1623262887,92,79,285.37,11.15
40,barrow,US,71.2906,-156.7887,1623262645,90,93,272.16,4.63
41,provideniya,RU,64.3833,-173.3,1623262888,100,96,276.32,2.7
42,constitucion,CL,-35.3333,-72.4167,1623262889,75,78,287.43,2.28
43,punta arenas,CL,-53.15,-70.9167,1623262832,75,66,281.21,8.7
44,bethel,US,41.3712,-73.414,1623262890,40,67,305.6,0.89
45,samana,DO,19.2056,-69.3369,1623262891,75,84,302.27,4.12
46,puerto ayora,EC,-0.7393,-90.3518,1623262891,53,81,300.13,4.02
47,ahipara,NZ,-35.1667,173.1667,1623262892,100,93,288.18,2.99
48,acapulco,MX,16.8634,-99.8901,1623262669,90,70,305.05,3.13
49,eyl,SO,7.9803,49.8164,1623262894,8,79,299.93,10.37
50,forestville,US,38.8451,-76.875,1623262824,75,71,303.89,3.09
51,cayenne,GF,4.9333,-52.3333,1623262895,75,90,299.17,0.45
52,busselton,AU,-33.65,115.3333,1623262895,86,89,291.51,13.09
53,yerbogachen,RU,61.2767,108.0108,1623262896,72,60,283.48,2.32
54,cairns,AU,-16.9167,145.7667,1623262897,90,64,295.12,3.6
55,lebu,CL,-37.6167,-73.65,1623262897,99,79,286.31,7.9
56,bunol,ES,39.4167,-0.7833,1623262898,12,65,296.94,4.03
57,gorlice,PL,49.6556,21.1604,1623262899,49,80,289.88,2.27
58,batagay-alyta,RU,67.8006,130.4114,1623262899,100,86,276.7,2.74
59,paamiut,GL,61.994,-49.6678,1623262900,62,94,275.56,4.34
60,polican,AL,40.6122,20.0981,1623262900,96,91,289.27,2.44
61,adrar,MR,20.5022,-10.0711,1623262901,4,6,317.16,6.24
62,udachnyy,RU,66.4167,112.4,1623262902,99,46,283.38,10.29
63,butaritari,KI,3.0707,172.7902,1623262902,67,70,301.47,8.02
64,geraldton,AU,-28.7667,114.6,1623262903,75,88,290.38,9.19
65,gat,IL,31.61,34.7642,1623262681,0,43,301.7,2.47
66,vila velha,BR,-20.3297,-40.2925,1623262708,75,81,298.12,2.24
67,khatanga,RU,71.9667,102.5,1623262904,28,59,279.0,3.27
68,bilma,NE,18.6853,12.9164,1623262905,7,8,310.34,2.36
69,kieta,PG,-6.2167,155.6333,1623262906,100,82,299.58,1.18
70,jamestown,US,42.097,-79.2353,1623262830,40,83,299.92,3.13
71,bagdarin,RU,54.4333,113.6,1623262907,93,96,278.65,0.75
72,labuan,MY,5.2767,115.2417,1623262907,20,94,299.35,0.0
73,ikongo,MG,-21.8833,47.4333,1623262908,88,97,288.47,0.78
74,cremona,IT,45.2333,9.9333,1623262909,39,57,300.8,0.96
75,visnes,NO,59.3556,5.2242,1623262909,0,72,290.69,6.17
76,ponta do sol,PT,32.6667,-17.1,1623262910,17,68,297.43,2.06
